Username,Comment,Rating,Time,IdProduct
partykool,"Nhà a 3 đời dùng iphone tới đời anh thì dùng máy cũ, cảm ơn em My đã mang tới cái điu rẻ tuột quần này 😍😍",5,2021-10-31 10:11:18,9994458817
l*****t,"Giao hàng siêu nhanh, mình đặt chiều 22/10 thì chiều 23/10 nhận được hàng. Hàng chính hãng, giá tốt. Siêu ưng nha ❤️",5,2021-10-28 00:02:46,9994458817
quangmanb1,"Hàng đẹp xuất sắc, rất hài lòng tuy thời gian chuẩn bị khá lâu ah",5,2021-10-27 22:59:34,9994458817
phamhoang3644,Chính hãng,5,2022-01-01 20:44:57,9994458817
yoorichan,"Hàng chờ hơi lâu xíu, nhưng đóng gói cẩn thận. Tư vấn hỗ trợ nhiệt tình. Mình kích hoạt bảo hành nhưng mãi k được. Không hiểu sao",5,2021-12-16 17:23:16,9994458817
kuxi0611,"Giao hàng nhanh, nguyên seal",5,2021-10-24 23:43:46,9994458817
kiotgiay,,5,2021-10-25 13:16:26,9994458817
t*****2,Xuất sắc🥰🥰,5,2021-10-25 00:10:02,9994458817
haiquang6485,"Hoàn toàn hài lòng, máy rất đẹp, nguyên seal hàng VN/A",5,2021-10-24 08:12:16,9994458817
emilystarr,,5,2021-12-27 17:02:20,9994458817
yoorichan,,5,2021-12-22 10:23:58,9994458817
tranduduc,,5,2021-12-19 16:58:10,9994458817
trandungeib,,5,2021-12-18 23:03:21,9994458817
ttkglx,,5,2021-12-16 12:52:18,9994458817
jhauhanfti,,5,2021-11-15 08:35:54,9994458817
nduchuy2511,"Giao hàng nhanh, 5 sao :)",5,2021-10-31 16:41:31,9994458817
rong9999,,5,2021-10-30 21:37:48,9994458817
dollahouse,,5,2021-10-27 17:18:09,9994458817
tdvcb3,,5,2021-11-07 18:26:09,9994458817
xitructrum,,5,2021-10-27 12:02:46,9994458817
vn6567_77222,,5,2021-10-27 10:48:01,9994458817
n*****1,,5,2021-10-27 21:21:57,9994458817
vuongnhe,,5,2021-10-24 02:33:50,9994458817
vducanh24,,5,2021-10-25 19:29:34,9994458817
93tkngshy7,,5,2021-11-02 17:15:01,9994458817
soncd6,,5,2021-10-23 13:39:03,9994458817
emxingbow,,5,2021-10-26 11:38:15,9994458817
cothicam1998,,5,2021-10-23 11:50:58,9994458817
jtl6hinz70,,5,2021-10-24 12:35:40,9994458817
hauphand_rw,,5,2021-10-23 11:52:31,9994458817
phan_huynh_bao,,5,2021-10-23 17:57:23,9994458817
tamkr_cosmetic,Shopee lừa đảo ah. Mua iphone 13 promax 34trnmaf giao cho mình 1 túi nước không. Gọi điện thì sđt shop thuê bao. Yêu câud shopee xử lý,1,2022-01-06 10:20:30,13017662822
romphutung,"Nhận hàng ok. Active ok nha. Chính hãng VN
Chỉ bị cái lưng có vết trầy nhỏ ko biết do gì. 
Vẫn 5 sao",5,2022-01-07 13:36:32,13017662822
p*****8,Hàng quá chuẩn giao siêu nhanh tầm 3 ngày có hàng luôn nguyên seal rất thích,5,2022-01-01 22:55:45,13017662822
v*****d,"Chất lượng rất tốt, giao hàng nhanh chỉ 4 ngày, tuy nhiên đợt này mình mua bị lỗi do nsx xuất hiện 2 đốm nhỏ ở mặt lưng",5,2022-01-01 21:23:05,13017662822
cquandeptrai,Hàng Apple thì khỏi phải nói rồi. Đóng gói cẩn thận. Giao cũng nhanh. Cảm ơn Shop rất nhiều,5,2021-12-16 12:47:58,13017662822
quang3587,"Mã VN mới nguyên seal
Khuyết điểm: rất ít màu xanh, đợi khuyến mãi rất lâu lúc mua cũng rất khó
Shop nên lấy nhiều màu xanh
Những màu khác đừng lấy mất time của khách",5,2021-12-23 22:29:57,13017662822
t*****6,"Hang rât bén, lân đâu mua gia trị hơi ớn, nhưng nhận hang thi ok, nguyên seal nguên kiện, mọi thứ ổn, 3 ngay nhận dc hang, tiếc là apple bây giơ hok đi kèm cục sạc nên phải mua cốc sạc riêng lẻ , bấm ok nhận hang va yêu câu hoá đơn điện tử vê email rất nhanh, mượt, mọi thứ ổn",5,2021-12-16 17:45:55,13017662822
